"D. Leki, środki spożywcze specjalnego przeznaczenia żywieniowego oraz wyroby medyczne przysługujące świadczeniobiorcom, o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2020 r. poz. 1398, z późn. zm.)",,,,
LP,Substancja czynna,Nazwa i postać leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt
1068,Metformini hydrochloridum,"Avamina, tabl. powl., 1000 mg",60 szt. (6 blist.po 10 szt.),05909990765430
1069,Metformini hydrochloridum,"Avamina, tabl. powl., 1000 mg",90 tabl.,05903792661600
1070,Metformini hydrochloridum,"Avamina, tabl. powl., 500 mg",60 szt. (6 blist.po 10 szt.),05909990765386
1071,Metformini hydrochloridum,"Avamina, tabl. powl., 500 mg",90 tabl.,05903792661563
1072,Metformini hydrochloridum,"Avamina, tabl. powl., 850 mg",60 szt. (6 blist.po 10 szt.),05909990765409
1073,Metformini hydrochloridum,"Avamina, tabl. powl., 850 mg",90 tabl.,05903792661587
1074,Metformini hydrochloridum,"Etform 500, tabl. powl., 500 mg",60 szt. (6 blist.po 10 szt.),05909990698141
1075,Metformini hydrochloridum,"Etform 500, tabl. powl., 500 mg",90 szt. (9 blist.po 10 szt.),05909990698172
1076,Metformini hydrochloridum,"Etform 850, tabl. powl., 850 mg",60 szt. (6 blist.po 10 szt.),05909990698257
1077,Metformini hydrochloridum,"Etform 850, tabl. powl., 850 mg",90 szt. (9 blist.po 10 szt.),05909990698271
1078,Metformini hydrochloridum,"Etform, tabletki powlekane, 1000 mg",120 tabl.,05909991352417
1079,Metformini hydrochloridum,"Etform, tabletki powlekane, 1000 mg",60 tabl.,05909991352400
1080,Metformini hydrochloridum,"Formetic, tabl. powl., 1000 mg",120 szt.,05903060614444
1081,Metformini hydrochloridum,"Formetic, tabl. powl., 1000 mg",30 szt.,05909990078974
1082,Metformini hydrochloridum,"Formetic, tabl. powl., 1000 mg",60 szt.,05909990078981
1083,Metformini hydrochloridum,"Formetic, tabl. powl., 1000 mg",90 szt.,05909990078998
1084,Metformini hydrochloridum,"Formetic, tabl. powl., 500 mg",120 szt.,05903060614406
1085,Metformini hydrochloridum,"Formetic, tabl. powl., 500 mg",30 szt.,05909990078943
1086,Metformini hydrochloridum,"Formetic, tabl. powl., 500 mg",60 szt.,05909990078950
1087,Metformini hydrochloridum,"Formetic, tabl. powl., 500 mg",90 szt.,05909990078967
1088,Metformini hydrochloridum,"Formetic, tabl. powl., 850 mg",120 szt.,05903060614420
1089,Metformini hydrochloridum,"Formetic, tabl. powl., 850 mg",30 szt. (3 blist.po 10 szt.),05909990079001
1090,Metformini hydrochloridum,"Formetic, tabl. powl., 850 mg",60 szt. (6 blist.po 10 szt.),05909990079025
1091,Metformini hydrochloridum,"Formetic, tabl. powl., 850 mg",90 szt. (9 blist.po 10 szt.),05909990079032
1092,Metformini hydrochloridum,"Glucophage 850 mg, tabl. powl., 850 mg",30 szt.,05909990789290
1093,Metformini hydrochloridum,"Glucophage XR, tabl. o przedłużonym uwalnianiu, 1000 mg",60 szt.,05909990864461
1094,Metformini hydrochloridum,"Glucophage XR, tabl. o przedłużonym uwalnianiu, 500 mg",60 szt. (4 blist.po 15 szt.),05909990624768
1095,Metformini hydrochloridum,"Glucophage XR, tabl. o przedłużonym uwalnianiu, 750 mg",60 szt. (4 blist.po 15 szt.),05909990213436
1096,Metformini hydrochloridum,"Metfogamma 1000, tabl. powl., 1000 mg",30 szt. (2 blist.po 15 szt.),05909990654598
1097,Metformini hydrochloridum,"Metfogamma 850, tabl. powl., 850 mg",30 szt. (3 blist.po 10 szt.),05909991032913
1098,Metformini hydrochloridum,"Metformax 1000, tabl. powl., 1000 mg",120 szt.,05909991252069
1099,Metformini hydrochloridum,"Metformax 1000, tabl. powl., 1000 mg",120 szt.,05909991425845
1100,Metformini hydrochloridum,"Metformax 1000, tabl. powl., 1000 mg",30 szt.,05909990053056
1101,Metformini hydrochloridum,"Metformax 1000, tabl. powl., 1000 mg",60 szt.,05909991425821
1102,Metformini hydrochloridum,"Metformax 1000, tabl. powl., 1000 mg",90 szt.,05909991425838
1103,Metformini hydrochloridum,"Metformax 500, tabl., 500 mg",30 szt.,05909990126316
1104,Metformini hydrochloridum,"Metformax 850, tabl., 850 mg",30 szt.,05909990450718
1105,Metformini hydrochloridum,"Metformax 850, tabl., 850 mg",90 szt.,05909990935277
1106,Metformini hydrochloridum,"Metformax SR 1000, tabl. o przedł. uwalnianiu, 1000 mg",30 szt.,05909991404918
1107,Metformini hydrochloridum,"Metformax SR 1000, tabl. o przedł. uwalnianiu, 1000 mg",60 szt.,05909991404925
1108,Metformini hydrochloridum,"Metformax SR 500, tabl. o przedłużonym uwalnianiu, 500 mg",30 szt.,05909990652112
1109,Metformini hydrochloridum,"Metformax SR 500, tabl. o przedłużonym uwalnianiu, 500 mg",60 szt.,05909990933167
1110,Metformini hydrochloridum,"Metformax SR 500, tabl. o przedłużonym uwalnianiu, 500 mg",90 szt.,05909990933174
1111,Metformini hydrochloridum,"Metformax SR 750, tabl. o przedł. uwalnianiu, 750 mg",30 szt.,05909991404895
1112,Metformini hydrochloridum,"Metformax SR 750, tabl. o przedł. uwalnianiu, 750 mg",60 szt.,05909991404901
1113,Metformini hydrochloridum,"Siofor XR 1000 mg, tabl. o przedł. uwalnianiu, 1000 mg",120 szt.,05909991394585
1114,Metformini hydrochloridum,"Siofor XR 1000 mg, tabl. o przedł. uwalnianiu, 1000 mg",30 szt.,05909991394554
1115,Metformini hydrochloridum,"Siofor XR 500 mg, tabl. o przedł. uwalnianiu, 500 mg",120 szt.,05909991394462
1116,Metformini hydrochloridum,"Siofor XR 500 mg, tabl. o przedł. uwalnianiu, 500 mg",30 szt.,05909991394431
1117,Metformini hydrochloridum,"Siofor XR 750 mg, tabl. o przedł. uwalnianiu, 750 mg",120 szt.,05909991394516
1118,Metformini hydrochloridum,"Siofor XR 750 mg, tabl. o przedł. uwalnianiu, 750 mg",30 szt.,05909991394486
1119,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 1000 mg",30 tabl.,05909991271756
1120,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 1000 mg",60 tabl.,05909991271763
1121,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 500 mg",30 tabl.,05909991271695
1122,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 500 mg",60 tabl.,05909991271701
1123,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 750 mg",30 tabl.,05909991271732
1124,Metformini hydrochloridum,"Symformin XR, tabletki o przedłużonym uwalnianiu, 750 mg",60 tabl.,05909991271749
1125,Metforminum,"Avamina, tabl. powl., 1000 mg",30 szt. (3 blist.po 10 szt.),05909990765423
1126,Metforminum,"Avamina, tabl. powl., 500 mg",30 szt. (3 blist.po 10 szt.),05909990765379
1127,Metforminum,"Avamina, tabl. powl., 850 mg",30 szt. (3 blist.po 10 szt.),05909990765393
1128,Metforminum,"Glucophage 1000 mg, tabl. powl., 1000 mg",30 szt. (2 blist.po 15 szt.),05909990717248
1129,Metforminum,"Glucophage 500 mg, tabl. powl., 500 mg",30 szt.,05909990789276
1130,Metforminum,"Glucophage XR, tabl. o przedłużonym uwalnianiu, 500 mg",30 szt. (2 blist.po 15 szt.),05909990624751
1131,Metforminum,"Glucophage XR, tabl. o przedłużonym uwalnianiu, 750 mg",30 szt. (2 blist.po 15 szt.),05909990213429
1132,Metforminum,"Glucophage, tabl. powl., 850 mg",60 szt.,05909990789306
1133,Metforminum,"Metformax 1000, tabl. powl., 1000 mg",60 szt.,05909990933181
1134,Metforminum,"Metformax 1000, tabl. powl., 1000 mg",90 tabl.,05909990933198
1135,Metforminum,"Metformax 500, tabl., 500 mg",60 szt.,05909990935253
1136,Metforminum,"Metformax 850, tabl., 850 mg",60 szt.,05909990935260
1137,Metforminum,"Metformin Bluefish, tabl. powl., 1000 mg",30 szt.,05909990705894
1138,Metforminum,"Metformin Bluefish, tabl. powl., 500 mg",30 szt.,05909990705474
1139,Metforminum,"Metformin Bluefish, tabl. powl., 850 mg",30 szt.,05909990705726
1140,Metforminum,"Metformin Galena, tabl., 500 mg",30 szt. (3 blist.po 10 szt.),05909990462018
1141,Metforminum,"Metformin Galena, tabl., 850 mg",30 szt. (2 blist.po 15 szt.),05909990928019
1142,Metforminum,"Metifor, tabl., 500 mg",30 szt. (3 blist.po 10 szt.),05909990495115
1143,Metforminum,"Siofor 1000, tabl. powl., 1000 mg",120 szt. (8 blist.po 15 szt.),05909990221028
1144,Metforminum,"Siofor 1000, tabl. powl., 1000 mg",30 szt. (2 blist.po 15 szt.),05909990220984
1145,Metforminum,"Siofor 1000, tabl. powl., 1000 mg",60 szt. (4 blist.po 15 szt.),05909990220991
1146,Metforminum,"Siofor 1000, tabl. powl., 1000 mg",90 szt. (6 blist.po 15 szt.),05909990221004
1147,Metforminum,"Siofor 500, tabl. powl., 500 mg",120 szt. (12 blist.po 10 szt.),05909990457236
1148,Metforminum,"Siofor 500, tabl. powl., 500 mg",30 szt. (2 blist.po 15 szt.),05909990457212
1149,Metforminum,"Siofor 500, tabl. powl., 500 mg",60 szt. (6 blist.po 10 szt.),05909990457229
1150,Metforminum,"Siofor 500, tabl. powl., 500 mg",90 tabl.,04013054024331
1151,Metforminum,"Siofor 850, tabl. powl., 850 mg",120 szt. (8 blist.po 15 szt.),05909990457335
1152,Metforminum,"Siofor 850, tabl. powl., 850 mg",30 szt. (2 blist.po 15 szt.),05909990457311
1153,Metforminum,"Siofor 850, tabl. powl., 850 mg",60 tabl.,05909990457328
1154,Metforminum,"Siofor 850, tabl. powl., 850 mg",90 szt.,04013054024348
1155,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","1 amp.-strz.a 0,375 ml",05907626701852
1156,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","4 amp.-strz.po 0,375 ml",05907626701869
1157,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","4 amp.-strz.po 0,5 ml",05907626701920
1158,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","4 amp.-strz.po 0,75 ml",05907626702040
1159,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml",4 amp.-strz.po 1 ml,05909990735242
1160,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","4 amp.-strz.po 1,25 ml",05909990735273
1161,Methotrexatum,"Ebetrexat, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/ml","4 amp.-strz.po 1,5 ml",05909990735303
1162,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,15 ml",05909990791286
1163,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,2 ml",05909990791347
1164,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,25 ml",05909990922741
1165,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,3 ml",05909990791392
1166,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,35 ml",05909990922758
1167,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,4 ml",05909990791477
1168,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,45 ml",05909990922765
1169,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,5 ml",05909990791521
1170,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,55 ml",05909990922772
1171,Methotrexatum,"Metex, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","12 amp.-strz.po 0,6 ml",05909990928125
1172,Methotrexatum,"Methofill SD, roztwór do wstrzykiwań we wstrzykiwaczu, 15 mg",8 wstrzykiwaczy,05909991346867
1173,Methotrexatum,"Methofill SD, roztwór do wstrzykiwań we wstrzykiwaczu, 17,5 mg",8 wstrzykiwaczy,05909991346898
1174,Methotrexatum,"Methofill SD, roztwór do wstrzykiwań we wstrzykiwaczu, 20 mg",8 wstrzykiwaczy,05909991346928
1175,Methotrexatum,"Methofill SD, roztwór do wstrzykiwań we wstrzykiwaczu, 25 mg",8 wstrzykiwaczy,05909991346980
1176,Methotrexatum,"Methofill SD, roztwór do wstrzykiwań we wstrzykiwaczu, 30 mg",8 wstrzykiwaczy,05909991347048
1177,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,15 ml",05055565730881
1178,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,2 ml",05055565730911
1179,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,25 ml",05055565730959
1180,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,3 ml",05055565730966
1181,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,35 ml",05055565731000
1182,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,4 ml",05055565731024
1183,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,45 ml",05055565731062
1184,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,5 ml",05055565731079
1185,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,55 ml",05055565736319
1186,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","1 amp.-strz.po 0,6 ml",05055565731116
1187,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,15 ml",05055565730898
1188,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,2 ml",05055565730928
1189,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,3 ml",05055565730973
1190,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,4 ml",05055565731031
1191,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,5 ml",05055565731086
1192,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","4 amp.-strz.po 0,6 ml",05055565731123
1193,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,15 ml",05055565730904
1194,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,2 ml",05055565730935
1195,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,3 ml",05055565730980
1196,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,4 ml",05055565731048
1197,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,5 ml",05055565731093
1198,Methotrexatum,"Methofill, roztwór do wstrzykiwań w ampułko-strzykawce, 50 mg/ml","8 amp.-strz.po 0,6 ml",05055565731130
1199,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 10 mg",4 amp.-strz.,05909991252724
1200,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 15 mg",4 amp.-strz.,05909991252762
1201,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg",4 amp.-strz.,05909991252809
1202,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 25 mg",4 amp.-strz.,05909991252847
1203,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 30 mg",4 amp.-strz.,05909991252885
1204,Methotrexatum,"Namaxir, roztwór do wstrzykiwań w ampułko-strzykawce, 7,5 mg",4 amp.-strz.,05909991252700
1205,Metoprololi tartras,"Metocard, tabl., 50 mg",30 szt. (3 blist.po 10 szt.),05909990034420
1206,Metoprololum,"Metocard, tabl., 100 mg",30 szt. (3 blist.po 10 szt.),05909990034529
1207,Mianserini hydrochloridum,"Deprexolet, tabl. powl., 60 mg",30 tabl.,05909991379391
1208,Mianserini hydrochloridum,"Miansec 30, tabl. powl., 30 mg",30 szt.,03830044949655
1209,Mianserinum,"Deprexolet, tabl. powl., 10 mg",30 szt.,05909991120948
1210,Mianserinum,"Deprexolet, tabl. powl., 10 mg",90 tabl.,05909991120962
1211,Mianserinum,"Deprexolet, tabl. powl., 30 mg",30 szt.,05909991121051
1212,Mianserinum,"Lerivon, tabl. powl., 10 mg",30 szt. (1 blist.po 30 szt.),05909990157716
1213,Mianserinum,"Lerivon, tabl. powl., 30 mg",30 szt. (1 blist.po 30 szt.),05909990157822
1214,Mianserinum,"Miansec 30, tabl. powl., 30 mg",20 szt. (1 blist.po 20 szt.),05909991124311
1215,Mianserinum,"Miansec, tabl. powl., 10 mg",30 szt. (1 blist.po 30 szt.),05909990796618
1216,Mianserinum,"Miansec, tabl. powl., 10 mg",90 szt. (3 blist.po 30 szt.),05909990796625
1217,Mianserinum,"Miansegen, tabl. powl., 10 mg",30 szt.,05909990883813
1218,Mianserinum,"Miansegen, tabl. powl., 10 mg",90 szt.,05909990883820
1219,Mianserinum,"Miansegen, tabl. powl., 30 mg",20 szt.,05909990883929
1220,Mianserinum,"Miansegen, tabl. powl., 30 mg",30 szt.,05909990764242
1221,Mianserinum,"Miansegen, tabl. powl., 60 mg",30 szt.,05909991064525
1222,Moclobemidum,"Aurorix, tabl. powl., 150 mg",30 szt.,05909990094813
1223,Moclobemidum,"Aurorix, tabl. powl., 300 mg",30 szt.,05909990419814
1224,Moclobemidum,"Mobemid, tabl. powl., 150 mg",30 szt. (2 blist.po 15 szt.),05909990966813
1225,Moclobemidum,"Moklar, tabl. powl., 150 mg",30 szt. (3 blist.po 10 szt.),05909990953714
1226,Mometasoni furoas,"Elitasone, maść, 1 mg/g",50 g,05906071039657
1227,Mometasoni furoas,"Momecutan Fettcreme, krem, 1 mg/g",50 g,05909991097059
1228,Mometasoni furoas,"Momecutan, maść, 1 mg/g",100 g,05909991236199
1229,Mometasoni furoas,"Momecutan, maść, 1 mg/g",50 g,05909991137441
1230,Mometasoni furoas,"Momecutan, roztwór na skórę, 1 mg/g",100 ml,05909991296384
1231,Mometasonum,"Asmanex Twisthaler, proszek do inhalacji, 400 µg/dawkę",1 poj.po 60 daw.,05909991106638
1232,Mometasonum,"Momecutan, roztwór na skórę, 1 mg/g",50 ml,05909991087982
1233,Nadroparinum calcicum,"Fraxiparine, roztwór do wstrzykiwań, 2850 j.m. Axa/0,3 ml","10 amp.-strz.po 0,3 ml",05909990075621
1234,Nadroparinum calcicum,"Fraxiparine, roztwór do wstrzykiwań, 3800 j.m. Axa/0,4 ml","10 amp.-strz.po 0,4 ml",05909990716821
1235,Nadroparinum calcicum,"Fraxiparine, roztwór do wstrzykiwań, 5700 j.m. Axa/0,6 ml","10 amp.-strz.po 0,6 ml",05909990075720
1236,Nadroparinum calcicum,"Fraxiparine, roztwór do wstrzykiwań, 7600 j.m. Axa/0,8 ml","10 amp.-strz.po 0,8 ml",05909990716920
1237,Nadroparinum calcicum,"Fraxiparine, roztwór do wstrzykiwań, 9500 j.m. Axa/ml",10 amp.-strz.po 1 ml,05909990075829
1238,Nadroparinum calcicum,"Fraxodi, roztwór do wstrzykiwań, 11400 j.m. Axa/0,6 ml","10 amp.-strz.po 0,6 ml",05909990836932
1239,Nadroparinum calcicum,"Fraxodi, roztwór do wstrzykiwań, 15200 j.m. AXa/0,8 ml","10 amp.-strz.po 0,8 ml",05909990837038
1240,Nadroparinum calcicum,"Fraxodi, roztwór do wstrzykiwań, 19000 j.m. Axa/ml",10 amp.-strz.po 1 ml,05909990837137
1241,Nebivololi hydrochloridum,"Nebivolol Genoptim, tabl., 5 mg",100 szt.,05909991369569
1242,Nebivololi hydrochloridum,"Nebivolol Genoptim, tabl., 5 mg",28 szt.,05909991369552
1243,Nebivololum,"Daneb, tabl., 5 mg",28 szt.,05909990750290
1244,Nebivololum,"Ebivol, tabl., 5 mg",30 szt.,05909990662425
1245,Nebivololum,"Ebivol, tabl., 5 mg",60 szt.,05909990662456
1246,Nebivololum,"Ivineb, tabl., 5 mg",28 szt.,05909990805495
1247,Nebivololum,"Nebicard, tabl., 10 mg",28 szt.,05909991390358
1248,Nebivololum,"Nebicard, tabl., 10 mg",56 szt.,05909991390372
1249,Nebivololum,"Nebicard, tabl., 5 mg",28 szt.,05909990685189
1250,Nebivololum,"Nebicard, tabl., 5 mg",56 szt.,05909990685202
1251,Nebivololum,"Nebilenin, tabl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990689774
1252,Nebivololum,"Nebilet, tabl., 5 mg",28 szt.,05909990670185
1253,Nebivololum,"Nebinad, tabl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990648719
1254,Nebivololum,"Nebispes, tabl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990673865
1255,Nebivololum,"NebivoLEK, tabl., 5 mg",28 szt.,05909990653300
1256,Nebivololum,"NebivoLEK, tabl., 5 mg",56 szt.,05907626703597
1257,Nebivololum,"Nebivolol Aurovitas, tabl., 5 mg",28 szt.,05909991357047
1258,Nebivololum,"Nebivolol Krka, tabl., 5 mg",30 szt.,03838989716172
1259,Nebivololum,"Nebivor, tabl., 5 mg",100 szt. (10 blist.po 10 szt.),05909990641000
1260,Nebivololum,"Nebivor, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990640997
1261,Nebivololum,"Nedal, tabl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990642809
1262,Olodaterolum + Tiotropium,"Spiolto Respimat, roztwór do inhalacji, 2,5+2,5 µg",1 wkład 30 dawek + 1 inh.,05909991257439
1263,Oxybutynini hydrochloridum,"Ditropan, tabl., 5 mg",30 szt.,05909991290887
1264,Oxybutyninum,"Ditropan, tabl., 5 mg",30 szt.,05909990163519
1265,Oxybutyninum,"Ditropan, tabl., 5 mg",30 szt.,05909991239503
1266,Oxybutyninum,"Ditropan, tabl., 5 mg",30 szt.,05909991304140
1267,Oxybutyninum,"Driptane, tabl., 5 mg",60 szt.,05909990783816
1268,Oxycodoni hydrochloridum,"Xancodal, tabl. o przedłużonym uwalnianiu, 40 mg",100 szt.,05909991038670
1269,Oxycodoni hydrochloridum,"Xancodal, tabl. o przedłużonym uwalnianiu, 60 mg",100 szt.,05909991038724
1270,Oxycodoni hydrochloridum,"Xancodal, tabl. o przedłużonym uwalnianiu, 80 mg",100 szt.,05909991038762
1271,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 10 mg",100 szt.,05909990940769
1272,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 10 mg",60 szt.,05909991250850
1273,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 20 mg",100 szt.,05909990941247
1274,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 20 mg",60 szt.,05909991250874
1275,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 40 mg",100 szt.,05909990941407
1276,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 5 mg",100 szt.,05909990940233
1277,Oxycodonum,"Accordeon, tabl. o przedłużonym uwalnianiu, 80 mg",100 szt.,05909990941568
1278,Oxycodonum,"OxyContin, tabl. o przedłużonym uwalnianiu, 10 mg",60 szt. (6 blist.po 10 szt.),05909990643943
1279,Oxycodonum,"OxyContin, tabl. o przedłużonym uwalnianiu, 20 mg",60 szt. (6 blist.po 10 szt.),05909990644001
1280,Oxycodonum,"OxyContin, tabl. o przedłużonym uwalnianiu, 40 mg",60 szt. (6 blist.po 10 szt.),05909990644025
1281,Oxycodonum,"OxyContin, tabl. o przedłużonym uwalnianiu, 5 mg",60 szt. (6 blist.po 10 szt.),05909990643905
1282,Oxycodonum,"OxyContin, tabl. o przedłużonym uwalnianiu, 80 mg",60 szt. (6 blist.po 10 szt.),05909990644049
1283,Oxycodonum,"Oxydolor, tabl. o przedłużonym uwalnianiu, 10 mg",60 szt.,05909990839643
1284,Oxycodonum,"Oxydolor, tabl. o przedłużonym uwalnianiu, 20 mg",60 szt.,05909990839780
1285,Oxycodonum,"Oxydolor, tabl. o przedłużonym uwalnianiu, 40 mg",60 szt.,05909990840038
1286,Oxycodonum,"Oxydolor, tabl. o przedłużonym uwalnianiu, 5 mg",60 szt.,05909990839469
1287,Oxycodonum,"Oxydolor, tabl. o przedłużonym uwalnianiu, 80 mg",60 szt.,05909990840182
1288,Oxycodonum,"Reltebon, tabl. o przedłużonym uwalnianiu, 10 mg",60 tabl.,05909991184827
1289,Oxycodonum,"Reltebon, tabl. o przedłużonym uwalnianiu, 20 mg",60 tabl.,05909991184865
1290,Oxycodonum,"Reltebon, tabl. o przedłużonym uwalnianiu, 40 mg",60 tabl.,05909991184902
1291,Oxycodonum,"Reltebon, tabl. o przedłużonym uwalnianiu, 5 mg",60 tabl.,05909991184742
1292,Oxycodonum,"Reltebon, tabl. o przedłużonym uwalnianiu, 80 mg",60 tabl.,05909991184940
1293,Paroxetinum,"Arketis tabletki 20 mg, tabl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990047109
1294,Paroxetinum,"Parogen, tabl. powl., 20 mg",30 szt. (1 poj.po 30 szt.),05909990425877
1295,Paroxetinum,"Parogen, tabl. powl., 20 mg",60 szt. (1 poj.po 60 szt.),05909990425884
1296,Paroxetinum,"Paroxetine Aurovitas, tabl. powl., 20 mg",30 tabl.,05909991323615
1297,Paroxetinum,"Paroxetine Aurovitas, tabl. powl., 20 mg",60 tabl.,05909991323646
1298,Paroxetinum,"Paroxetine Vitama, tabl. powl., 20 mg",30 szt.,05909990655724
1299,Paroxetinum,"Paroxinor, tabl. powl., 20 mg",30 szt.,05909990798346
1300,Paroxetinum,"Paxtin 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990010189
1301,Paroxetinum,"Paxtin 40, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990010202
1302,Paroxetinum,"Rexetin, tabl. powl., 20 mg",30 szt.,05909991006310
1303,Paroxetinum,"Xetanor 20 mg, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990570515
1304,Perindoprili tosilas + Amlodipinum,"Vilpin Combi, tabl., 10+10 mg",30 szt.,05909991137571
